34584 records sent, 6912.7 records/sec (6.59 MB/sec), 8972.7 ms avg latency, 25126.0 ms max latency.
119856 records sent, 23971.2 records/sec (22.86 MB/sec), 6564.1 ms avg latency, 26722.0 ms max latency.
97776 records sent, 19555.2 records/sec (18.65 MB/sec), 3320.0 ms avg latency, 18504.0 ms max latency.
38023 records sent, 6423.9 records/sec (6.13 MB/sec), 2377.9 ms avg latency, 9740.0 ms max latency.
114622 records sent, 22919.8 records/sec (21.86 MB/sec), 5057.4 ms avg latency, 14211.0 ms max latency.
104739 records sent, 20876.8 records/sec (19.91 MB/sec), 3647.9 ms avg latency, 13927.0 ms max latency.
65367 records sent, 13070.8 records/sec (12.47 MB/sec), 4076.0 ms avg latency, 11805.0 ms max latency.
104947 records sent, 20981.0 records/sec (20.01 MB/sec), 3874.6 ms avg latency, 12673.0 ms max latency.
75549 records sent, 14539.8 records/sec (13.87 MB/sec), 6216.8 ms avg latency, 10997.0 ms max latency.
5000000 records sent, 10554.156543 records/sec (10.07 MB/sec), 6072.93 ms avg latency, 29922.00 ms max latency, 4703 ms 50th, 16624 ms 95th, 22323 ms 99th, 29190 ms 99.9th.
